"leg_id","timestamp_utc","from_key","to_key","from_name","to_name","transport","route_source","route_confidence"
"1","2023-10-02 22:00:05","1696284004000","1696284005000","Tarragona beach","Tarragona beach","foot","arcgis","existing"
"2","2023-10-16 15:50:21","1697320809000","1697471421000","Gibraltar","Gibraltar","foot","arcgis","existing"
"3","2023-12-14 23:05:00","1702594980000","1702595100000","Valle Gran Rey","Playa Ingles","foot","arcgis","existing"
"4","2023-09-27 22:00:05","1695852004000","1695852005000","Aix-en-Provence outskirts","Aix-en-Provence","foot","arcgis","existing"
"5","2023-09-26 22:00:05","1695765603000","1695765605000","Albisola","Albisola","foot","arcgis","existing"
"6","2023-09-28 22:00:05","1695938404000","1695938405000","Montpellier","Montpellier","foot","arcgis","existing"
"7","2023-10-03 22:00:01","1696284005000","1696370401000","Tarragona beach","Tarragona beach","foot","arcgis","existing"
"8","2023-10-13 22:00:04","1697234401000","1697234404000","Malaga","Malaga","foot","arcgis","existing"
"9","2024-02-18 23:00:00","1708210980000","1708297200000","Corralejo","Corallejo","foot","arcgis","existing"
"10","2023-12-30 23:01:00","1703977200000","1703977260000","La Caleta","Cave","foot","arcgis","existing"
"11","2023-10-21 22:00:00","1697817294000","1697925600000","The Jungle","La Esteponera","foot","arcgis","existing"
"12","2023-12-20 23:06:00","1703113440000","1703113560000","La Caleta","Cave","foot","arcgis","existing"
"13","2023-12-18 23:01:00","1702940400000","1702940460000","Medio Beach","Hippie Cave","foot","arcgis","existing"
"14","2023-10-30 23:00:00","1698530406000","1698706800000","Ceuta","Ceuta Bus","foot","arcgis","existing"
"17","2023-12-19 23:02:00","1703026800000","1703026920000","San Sebastian Port","Los Christianos Port","ferry","arcgis","existing"
"18","2023-10-28 22:00:01","1698530400000","1698530401000","Algeciras","Ceuta","ferry","arcgis","existing"
"21","2023-10-02 22:00:03","1696284001000","1696284003000","Tarragona","Tarragona outskirts","foot","arcgis","existing"
"22","2023-11-10 17:39:58","1699527600000","1699637998000","Ceuta - La Graciosa, Day 3","Ceuta - La Graciosa, Day 4","boat","arcgis","existing"
"23","2023-11-17 23:00:04","1700262003000","1700262004000","Maspalmos","Maspalomas Dunes","foot","arcgis","existing"
"24","2023-11-18 23:00:00","1700262004000","1700348400000","Maspalomas Dunes","Las Palmas de Abajo","foot","arcgis","existing"
"25","2023-12-14 23:00:00","1702508520000","1702594800000","Cave","La Caleta","foot","arcgis","existing"
"26","2023-10-11 22:00:07","1697061606000","1697061607000","San Vincente","San Vincente","foot","arcgis","existing"
"27","2023-11-23 23:00:02","1700780401000","1700780402000","Valle Gran Rey","Playa Ingles","foot","arcgis","existing"
"28","2023-10-01 22:00:05","1696197604000","1696197605000","Barcelona","Molins de Rei","foot","arcgis","existing"
"29","2023-12-03 23:00:00","1701471604000","1701644400000","San Sebastian","San Sebastian Marina","foot","arcgis","existing"
"30","2023-12-14 23:02:00","1702594860000","1702594920000","Los Christianos Port","San Sebastian Port","ferry","arcgis","existing"
"31","2023-10-20 15:54:54","1697471421000","1697817294000","Gibraltar","The Jungle","foot","arcgis","existing"
"32","2024-02-17 23:00:00","1708124940000","1708210800000","Cotillo Beach","Cotillo","foot","arcgis","existing"
"33","2023-12-09 23:00:01","1702162800000","1702162801000","Las Lajas","Las Lajas","foot","arcgis","existing"
"35","2024-02-22 23:00:00","1708556400000","1708642800000","Playa de la Hermosas","La Pared","foot","arcgis","existing"
"36","2023-12-13 23:02:00","1702508460000","1702508520000","La Caleta","Cave","foot","arcgis","existing"
"37","2024-03-27 23:00:00","1711494780000","1711580400000","Santa Maria beach","Santa Maria","foot","arcgis","existing"
"38","2024-05-06 22:00:00","1714946880000","1715032800000","Kiel - Carola","Kiel","foot","arcgis","existing"
"39","2024-02-29 23:03:00","1709247660000","1709247780000","Arecife outskirts","Arecife outskirts","foot","arcgis","existing"
"40","2024-02-16 23:09:00","1708124880000","1708124940000","Cotillo","Cotillo Beach","foot","arcgis","existing"
"42","2023-11-21 23:00:00","1700434800000","1700607600000","Playa de Tauro","San Sebastian Port","boat","arcgis","existing"
"43","2023-11-13 23:00:01","1699916400000","1699916401000","La Graciosa - Las Palmas, Day 2","Las Palmas","foot","arcgis","existing"
"44","2024-02-24 23:03:00","1708815660000","1708815780000","Playa Blanca","Playa Mujeres","foot","arcgis","existing"
"45","2024-02-27 23:05:00","1709075040000","1709075100000","Famara","Famara dunes","foot","arcgis","existing"
"46","2023-11-13 23:00:00","1699830000000","1699916400000","La Graciosa - Las Palmas, Day 1","La Graciosa - Las Palmas, Day 2","boat","arcgis","existing"
"47","2024-02-29 23:00:00","1709161800000","1709247600000","La Concha","Playa Honda","foot","arcgis","existing"
"48","2024-02-29 23:07:00","1709247900000","1709248020000","Arecife - Las Palmas","SY Thinking of Dave","ferry","arcgis","existing"
"50","2024-03-15 23:00:00","1710457680000","1710543600000","Fontainhas","Cruzinha","foot","arcgis","existing"
"51","2024-02-25 23:03:00","1708902060000","1708902180000","Puerto Calero","Playa Quemada","foot","arcgis","existing"
"52","2024-02-25 23:00:00","1708815780000","1708902000000","Playa Mujeres","Marina Rubicon","foot","arcgis","existing"
"53","2024-03-22 23:00:00","1710544140000","1711148400000","Mindelo Marina","Mindelp - Sal, Day 1","boat","arcgis","existing"
"54","2024-04-13 22:00:00","1712959680000","1713045600000","Cap","Outside of Cap","foot","arcgis","existing"
"55","2023-12-05 23:00:05","1701817204000","1701817205000","Las Galettas","Las Galettas Beach","foot","arcgis","existing"
"56","2023-12-03 23:00:03","1701644401000","1701644403000","Los Christianos","Los Christianos Beach","foot","arcgis","existing"
"57","2024-03-12 23:06:00","1710284640000","1710284760000","Cova Paul","Pico da Cruz","foot","arcgis","existing"
"58","2024-02-18 23:08:00","1708297620000","1708297680000","Autovia","Playa el Salmo","foot","arcgis","existing"
"60","2023-11-18 23:00:06","1700348405000","1700348406000","Random playa","Random beach","foot","arcgis","existing"
"61","2023-11-23 23:00:00","1700608801000","1700780400000","San Sebastian","San Sebastian Outskirts","foot","arcgis","existing"
"62","2023-12-01 23:00:00","1701385200000","1701471600000","Los Chapines","Vallehermoso","foot","arcgis","existing"
"63","2024-05-14 22:06:00","1715724240000","1715724360000","Bad Schandau","Bad Schandau","foot","arcgis","existing"
"64","2024-03-14 23:08:00","1710457620000","1710457680000","Ponta do Sol","Fontainhas","foot","arcgis","existing"
"65","2023-11-21 23:20:01","1700607600000","1700608801000","San Sebastian Port","San Sebastian","foot","arcgis","existing"
"67","2023-10-28 22:00:06","1698530401000","1698530406000","Ceuta","Ceuta","foot","arcgis","existing"
"68","2023-11-29 23:00:04","1701298802000","1701298804000","Middle of the island","Middle of the island","foot","arcgis","existing"
"69","2024-04-05 22:07:00","1712354700000","1712354820000","Dakhla","Dakhla","foot","arcgis","existing"
"70","2024-05-02 22:01:00","1714687200000","1714687260000","La Courneuve","Reststop Courneuve","foot","arcgis","existing"
