country,nights,sleep_points,auto_points,manual_points
Spain,197,102,79,23
Switzerland,128,49,49,0
Chile,118,80,74,6
Peru,81,49,49,0
Venezuela,65,24,24,0
Colombia,63,36,36,0
Germany,49,25,25,0
France,43,30,28,2
Ecuador,36,18,18,0
Argentina,29,15,15,0
Brazil,24,18,18,0
Portugal,23,14,11,3
Cabo Verde,18,10,6,4
At sea,16,16,0,16
Canada,16,7,7,0
Iceland,15,9,6,3
Morocco,10,6,5,1
Bolivia,8,4,4,0
Czechia,6,4,4,0
Poland,6,6,6,0
Sweden,5,2,2,0
Belgium,4,4,4,0
Gibraltar,4,1,1,0
Mauritania,4,2,2,0
Senegal,4,2,2,0
Netherlands,2,2,2,0
Italy,1,1,1,0
