row,id,travel_datetime,travel_date,pointtype,name,sleepcategory,nonights,next_id,next_travel_datetime,next_travel_date,next_pointtype,next_name,day_diff_to_next_entry,status,
1,1,9/27/2023 0:00,9/27/2023,waypoint,Calmasino,,0,2,9/27/2023 0:00,9/27/2023,waypoint,Sirmione,0,not_sleep,
2,2,9/27/2023 0:00,9/27/2023,waypoint,Sirmione,,0,3,9/27/2023 0:00,9/27/2023,waypoint,Albisola,0,not_sleep,
3,3,9/27/2023 0:00,9/27/2023,waypoint,Albisola,,0,8,9/27/2023 0:00,9/27/2023,sleep,Albisola,0,not_sleep,
4,8,9/27/2023 0:00,9/27/2023,sleep,Albisola,camping,1,4,9/28/2023 0:00,9/28/2023,waypoint,Savona,1,match,
5,4,9/28/2023 0:00,9/28/2023,waypoint,Savona,,0,5,9/28/2023 0:00,9/28/2023,waypoint,Le Luc,0,not_sleep,
6,5,9/28/2023 0:00,9/28/2023,waypoint,Le Luc,,0,6,9/28/2023 0:00,9/28/2023,waypoint,Aix-en-Provence,0,not_sleep,
7,6,9/28/2023 0:00,9/28/2023,waypoint,Aix-en-Provence,,0,19,9/28/2023 0:00,9/28/2023,waypoint,Aix-en-Provence outskirts,0,not_sleep,
8,19,9/28/2023 0:00,9/28/2023,waypoint,Aix-en-Provence outskirts,,0,7,9/28/2023 0:00,9/28/2023,sleep,Aix-en-Provence,0,not_sleep,
9,7,9/28/2023 0:00,9/28/2023,sleep,Aix-en-Provence,couchsurfing,1,9,9/29/2023 0:00,9/29/2023,waypoint,Arles,1,match,
10,9,9/29/2023 0:00,9/29/2023,waypoint,Arles,,0,10,9/29/2023 0:00,9/29/2023,waypoint,Nimes,0,not_sleep,
11,10,9/29/2023 0:00,9/29/2023,waypoint,Nimes,,0,11,9/29/2023 0:00,9/29/2023,waypoint,Montpellier Est,0,not_sleep,
12,11,9/29/2023 0:00,9/29/2023,waypoint,Montpellier Est,,0,12,9/29/2023 0:00,9/29/2023,waypoint,Montpellier,0,not_sleep,
13,12,9/29/2023 0:00,9/29/2023,waypoint,Montpellier,,0,13,9/29/2023 0:00,9/29/2023,sleep,Montpellier,0,not_sleep,
14,13,9/29/2023 0:00,9/29/2023,sleep,Montpellier,couchsurfing,3,14,10/2/2023 0:00,10/2/2023,waypoint,Perpignan,3,match,
15,14,10/2/2023 0:00,10/2/2023,waypoint,Perpignan,,0,15,10/2/2023 0:00,10/2/2023,waypoint,Figueres,0,not_sleep,
16,15,10/2/2023 0:00,10/2/2023,waypoint,Figueres,,0,16,10/2/2023 0:00,10/2/2023,waypoint,Macanet de Selva,0,not_sleep,
17,16,10/2/2023 0:00,10/2/2023,waypoint,Macanet de Selva,,0,17,10/2/2023 0:00,10/2/2023,waypoint,Barcelona,0,not_sleep,
